Order,TapeID_N1,readDate_N1,arrayCode_N1,ROX,FAM,VIC,n_VIC,n_FAM,96well,384RowIndex,384ColIndex,Q,Sample,n_FAM CALL,CALL,TapeID_N3,readDate_N3,arrayCode_N3,ROX_N3,FAM_N3,VIC_N3,n_VIC_N3,n_FAM_N3,n_FAM CALL_N3,CALL_N3,384well,CONCORD
130,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2491,3219,127,0.050983541,1.292252108,,C,9,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2769,3603,79,0.028530155,1.301191766,NEG,VOID,C9,TRUE
131,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2986,2824,7358,2.464166109,0.945746818,,D,9,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2683,2505,6839,2.5490123,0.933656355,NEG,NOT DETECTED,D9,TRUE
132,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2446,3223,203,0.082992641,1.317661488,,E,9,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2572,3352,92,0.035769829,1.303265941,NEG,VOID,E9,TRUE
133,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2460,12708,6402,2.602439024,5.165853659,,F,9,3,POOL00008705,PLOD,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2468,2330,6118,2.478930308,0.944084279,NEG,NOT DETECTED,F9,FALSE
134,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2141,2801,193,0.090144792,1.308267165,,G,9,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2860,3825,46,0.016083916,1.337412587,NEG,VOID,G9,TRUE
135,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2571,2282,6652,2.587320109,0.887592377,,H,9,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,3055,2655,7965,2.607201309,0.869067103,NEG,NOT DETECTED,H9,TRUE
136,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2191,2833,84,0.038338658,1.293016887,,I,9,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2875,3870,60,0.020869565,1.346086957,NEG,VOID,I9,TRUE
137,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2385,2281,5938,2.489727463,0.95639413,,J,9,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2609,2507,6695,2.566117286,0.960904561,NEG,NOT DETECTED,J9,TRUE
138,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2646,3384,209,0.07898715,1.278911565,,K,9,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2296,3036,118,0.051393728,1.322299652,NEG,VOID,K9,TRUE
139,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2278,24688,5909,2.593942054,10.83757682,,L,9,3,POOL00008705,POS,DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2209,26713,5795,2.623358986,12.09280217,POS,DETECTED,L9,TRUE
